index,key_hex,context_hex,message_hex,tag_bytes,frame_hex,full_output_hex,tag_hex
0,b69ca329648ffb2a892344036728686e40a60726c0ec5425c845eefcfd9c5524,,,16,5056432d4d41432d300001c1100000000000000000000000000000000000,b96296708df4bcc8de2def15a5827323e821dfb1a6baceafcfb813dd92a93302,b96296708df4bcc8de2def15a5827323
1,3232d073071e1a2dec89d56ef5fb7251776099865317f48ba23f1c68e5c5fed8,3e27,1a829615762cf3d72fc262ad6fdb1fadc80ca479ddcf8f11fc503a2acfc993455659a58bc806fed73e5d5535b517f24ee9204ea1a7e7567b2d793e6bec6f616652dee963332b70da37bca56f96d8425212fe62e7156daf9ab10e3c9c,24,5056432d4d41432d300001c118000000000000000002000000000000005c3e271a829615762cf3d72fc262ad6fdb1fadc80ca479ddcf8f11fc503a2acfc993455659a58bc806fed73e5d5535b517f24ee9204ea1a7e7567b2d793e6bec6f616652dee963332b70da37bca56f96d8425212fe62e7156daf9ab10e3c9c,cd3b6e7c9b16ba4308bc2dc4fc9ccf9607e227b3be670de69aa24fbb5efdc43d,cd3b6e7c9b16ba4308bc2dc4fc9ccf9607e227b3be670de6
2,d1eaa449470f434a56d533c02f593d8a66f4ef15715facb1a897670164ab5a5d,c0ff3c6078261d0f519f5e1198ed473d9c3a878db0,eb28fc10e4acc23062e62b5dd5e4a76664670cf4ac025aeb024c06fa0ef35a1f570566662e,32,5056432d4d41432d300001c1200000000000000000150000000000000025c0ff3c6078261d0f519f5e1198ed473d9c3a878db0eb28fc10e4acc23062e62b5dd5e4a76664670cf4ac025aeb024c06fa0ef35a1f570566662e,de2f18c2633531f231d1d91775937df14af7a0dc58570864f3790ab83ba6c7a3,de2f18c2633531f231d1d91775937df14af7a0dc58570864f3790ab83ba6c7a3
3,2b1a375577977729d011c172505d87a5dadfd42192d86fb6a1cb35fa475c9a44,b12bb996eb9e85f45f55a8a3,fa12c2d9711c88d417887fecd001a1550f915cea252f583c05342d704369f7e4,16,5056432d4d41432d300001c11000000000000000000c0000000000000020b12bb996eb9e85f45f55a8a3fa12c2d9711c88d417887fecd001a1550f915cea252f583c05342d704369f7e4,0e1233723e7148595084b7d3db6da4e1eaacd1c913e247c5c68126b2a936d359,0e1233723e7148595084b7d3db6da4e1
4,36045d0b9f63bee72ecb78e5691b194294cbd8933aec8a371ed611200b0ac2d5,d8bf5aa52f39ac62062c287d03bc34c690b1e5dbeca4c494a0c9be5924ef937455e27489df31c489ab30d5c70354d5b2b7267d1f712ff8823790633ba4e6ffa1d05721e6e8bf261cad56e54c9b3ec010a5ef4a7a5b,d9ea5ebcb48fb6603a4660166fb1fcb6c3f9ce5888558e7eee3a69ea51bfe0815ac164f907a941960c86be64091be8bb06bc4477c4f3056490613a38fff96eee61083ae85a4f21b3b07b11d330e4f0342855001674bee527e23464018c70a42101be14326731ff3a1886442544da1497fb58ca34a3ff44a3199debc98a71257f821bc7219f254f8bedf88ebca6c40456409f15e9e6594d6daa129e1f905c85cea2cdbcf4e08977929b3c483f9d5256ab793a00,24,5056432d4d41432d300001c11800000000000000005500000000000000b3d8bf5aa52f39ac62062c287d03bc34c690b1e5dbeca4c494a0c9be5924ef937455e27489df31c489ab30d5c70354d5b2b7267d1f712ff8823790633ba4e6ffa1d05721e6e8bf261cad56e54c9b3ec010a5ef4a7a5bd9ea5ebcb48fb6603a4660166fb1fcb6c3f9ce5888558e7eee3a69ea51bfe0815ac164f907a941960c86be64091be8bb06bc4477c4f3056490613a38fff96eee61083ae85a4f21b3b07b11d330e4f0342855001674bee527e23464018c70a42101be14326731ff3a1886442544da1497fb58ca34a3ff44a3199debc98a71257f821bc7219f254f8bedf88ebca6c40456409f15e9e6594d6daa129e1f905c85cea2cdbcf4e08977929b3c483f9d5256ab793a00,7357789ba85b9f589dd2da3d6ebbf05f1fc1f013bd7a0d1fc70ee76f54d7146c,7357789ba85b9f589dd2da3d6ebbf05f1fc1f013bd7a0d1f
5,b48637f5699a2ad9ceb4de42c3799675246fa045f3888c06cc4a4b0797be42ca,acbaf412e8fa53df9f1312edef1a7fc315621c26cbb46471570f4666f1dd4945a53fd3f081679a596fce6f3c9e06c9647de7e6c71d2669437461efe024a3553832a487e7622abc651171847c91f89a993e,fd101139fb108eee4967f96fa87558e51701b85a03a2450eb66b95db5e245bf8db4371bc017520c9656a4f4279a3b46cbb7c49d04f0e5b0eed2d5498eb231c659b5b0061745e4ac7a345b49a5dc629e173b689d98b338ba951e3114aecad649e47a1679fa115f6d6834412216bc129bb5d9eb369aae6817bcfd4842179e3b8b6f25b6646ddfe008d96050ae5937baad91b418344cc070f927d4ce2e9f8d7a08b7d40348de9d126db6f2c45e7530a69e25a,32,5056432d4d41432d300001c12000000000000000005100000000000000b1acbaf412e8fa53df9f1312edef1a7fc315621c26cbb46471570f4666f1dd4945a53fd3f081679a596fce6f3c9e06c9647de7e6c71d2669437461efe024a3553832a487e7622abc651171847c91f89a993efd101139fb108eee4967f96fa87558e51701b85a03a2450eb66b95db5e245bf8db4371bc017520c9656a4f4279a3b46cbb7c49d04f0e5b0eed2d5498eb231c659b5b0061745e4ac7a345b49a5dc629e173b689d98b338ba951e3114aecad649e47a1679fa115f6d6834412216bc129bb5d9eb369aae6817bcfd4842179e3b8b6f25b6646ddfe008d96050ae5937baad91b418344cc070f927d4ce2e9f8d7a08b7d40348de9d126db6f2c45e7530a69e25a,bec4d7daf34e77d0822993eb6d7ab8078432b04586e12d1d1a39f778132a17c8,bec4d7daf34e77d0822993eb6d7ab8078432b04586e12d1d1a39f778132a17c8
6,ad6740222b32d1835e793a23d70ec97d4c36d4dae9dfb92e1627bf2f38f68b1b,29b159c5a360a4417a35cbab0c3f1c018c4f1ae5be6423e284a1bc20d57be9121b1ef82235d885d5e7490aaa4b50c52c6c06d7f5d789e117961bc23d,f842b47aefe4961e,16,5056432d4d41432d300001c11000000000000000003c000000000000000829b159c5a360a4417a35cbab0c3f1c018c4f1ae5be6423e284a1bc20d57be9121b1ef82235d885d5e7490aaa4b50c52c6c06d7f5d789e117961bc23df842b47aefe4961e,a8105e8fece3b2d30c900b71c87faa15ae80e9ca7b2c110e836719af647ff519,a8105e8fece3b2d30c900b71c87faa15
7,b2262c126d9211a5166bc1993631637be7a247a42a4b548dc316e486c2f140cf,7f126bba1110332a9111c1c5e64f5eaf5751aad48ed1d80296bdb4ca74b3ef840a466162793cfa9a793d56e45fbf354c8887bfe612b3791a0c357e0e9357e5c26a35ff43f29ff6eb75067f31f1cc,7cd22223d6e022c4a9da4745b487a8258ad08745072ed90147281cc5531cc523764644133dc9d4db75f20250da559464fa84976181b05afa2d7df46ba08507,24,5056432d4d41432d300001c11800000000000000004e000000000000003f7f126bba1110332a9111c1c5e64f5eaf5751aad48ed1d80296bdb4ca74b3ef840a466162793cfa9a793d56e45fbf354c8887bfe612b3791a0c357e0e9357e5c26a35ff43f29ff6eb75067f31f1cc7cd22223d6e022c4a9da4745b487a8258ad08745072ed90147281cc5531cc523764644133dc9d4db75f20250da559464fa84976181b05afa2d7df46ba08507,b385b6706a1f219ac3aec35c924a70d002133265815669828d44655c3e86b12f,b385b6706a1f219ac3aec35c924a70d00213326581566982
8,b1fd4bad13bbc878b358baffb33f8b2d0f1af6adcb44633091831fa2524633b6,7decbf4e11244b,5095820f26565ba01d1cbb93b697f1f738f8e9a20df528ba458f89a56a7901ec1731e2eecf02701234f213ce6a03c6b6,32,5056432d4d41432d300001c12000000000000000000700000000000000307decbf4e11244b5095820f26565ba01d1cbb93b697f1f738f8e9a20df528ba458f89a56a7901ec1731e2eecf02701234f213ce6a03c6b6,ca4021b88601f7580860870a7a56708a46df64a333b80212a9a1b63d7b0d8166,ca4021b88601f7580860870a7a56708a46df64a333b80212a9a1b63d7b0d8166
9,bb6e002327fa4b0c55e19a0d57140a9e3c50366cb5dd8a0aa0ed5f92bcc584ae,f5b544da98e250df200fdce2a643ca418dbf713871a3a152c56784,47c8032577bcfa798756236628e5684db4874694672673972d08a9ad0c58e43a1ddf00ca56a33e00364616f15c6ff783f67bd00a79f7ba87012106b1b466fff973dd035361bf409a9ca075f820ced4587088a3345685ef16551b94675ceeb8e89eaaed27266b8762d298b621cf2f43340ae73e2baaa10159a9c499,16,5056432d4d41432d300001c11000000000000000001b000000000000007bf5b544da98e250df200fdce2a643ca418dbf713871a3a152c5678447c8032577bcfa798756236628e5684db4874694672673972d08a9ad0c58e43a1ddf00ca56a33e00364616f15c6ff783f67bd00a79f7ba87012106b1b466fff973dd035361bf409a9ca075f820ced4587088a3345685ef16551b94675ceeb8e89eaaed27266b8762d298b621cf2f43340ae73e2baaa10159a9c499,311eb9930c6c66ee84816b10e4ec391dbfec1282ceae3a703ba65a9685397728,311eb9930c6c66ee84816b10e4ec391d
