index,key_hex,context_hex,message_hex,tag_bytes,tag_hex
0,b0e09f82af4b19b050dfe80f84fe2582299687227f0cb653925dca1f5fb85362,,,16,6a65974bc094650825283c176716428b
1,2ce07ff1a984eb3bffb20a02282a3cf608585b0b33ad363f1b0ceb726087c056,15,f7a84b07e588713e7ad9f21a073fbf2cb3,24,8655ea536e439d079a9810041c82ea161f3ae66bf95e74fa
2,39f06e1b23408015a001c2f92566f0a69097fd40720167fd911677069bfdc908,1450,5a56f0bbfe19d538042b6bbfbfc5edcdc8242725c4ca2d31419596b610e2cd4bddef,32,5f03a6ba755a9c3bb1d4b558c7396338c6ee74392214704cffe3caa730dd8655
3,a680ca9e60102466d6c5a8df37d5e5e21e3d1bbf27bbfaabeb4da0c620a0e22f,242b00,7b99f8466bfabb56a9fd7b27040f58ff4c0dbe22a5574e195229c7e2660cf89fa0763983329b2659e9ffd07deb9d8cdeec02b6e3,16,65cb4f96a14b6fc503eb423464283353
4,4705cd0701874fb5fce780736847445f9d465cb20aa677d40a7b00d5ff99bdb7,d0a12158,96acc294,24,39009ebee27ee0f2581b0c0e76a4f0a2ab147373abe6067c
5,a835793a4bfffb7afb55699c835bf412eb5a44c30cdb8420329021d0ce767f09,74c070a27b,7a404a7ed653a9c7fa385e5df955250ee79610e09e,32,b01b144b4cb072c57965a5b23cbf6bb4f36a7ff8bbb63fb95632807b2c8e2be2
6,3ce07794fb9375be4da741f487591f3f499db838bc665e7aa7be75807afd37f9,fdeb6ad95c0f,5c466524cfb4ece820be82b5b4535daa15801abd31825a1356a05aa5e6f5c7a1845a81af8660c9,16,ae40fcd8ad5d932cc1ba285b2f899d56
7,f908f23e224cb11d1f778d9f4d749a5ae2136affd6451555c123c11bd7ff9d0b,3ad5dfc0dd03ae,9a84383854190cf063c1fde455233d32265340a0cf757ccfcb42d83ea2388e408b55b29e608855c168780e2589272d9f42f0ef8e3505ecc4,24,24467178e175b9b284b8ab2ede095cdf139f2ee45c773e34
8,ddde4035217e6ac7c736c59af579166861adc4fefac3db2a6eb40adb2efaeea0,6b71a2475ef1015f,6586a970a616d228,32,ef27182ff919fff2b1a499a22adf7d05bc507e3220228743e7cbcd047caa5a98
9,fb06dbe0e22cd8127093223032a4479a0fbc035ace79ecac9de89c429530b7fb,ae5006affcfd4a13ec,262422600172972467461d22480b837538bbdfdc3c3db561a391,16,81f6904dfa657ea0462b945f1b72c81b
